Trait,LCNN,DNNGP,DeepGS,DLGWAS,gMLP,KNN,Random Forest,XGBoost,MLP,SVR,BayesA,BayesB,BayesC,BL,BRR,rrBLUP,LASSO,SPLS,RR,BRNN,1,2,3,,ML,DL,SS
EL,0.1293,0.1491,0.0195,0.3066,0.3955,0.0442,0.1097,0.0653,0.0905,0.6903,0.0702,0.0849,0.0999,0.0596,0.0573,0.0585,0.2186,0.0891,0.2024,0.0595,,,,,,,
ERN,0.0746,0.0943,0.0443,0.3,0.4868,0.118,0.0905,0,0.0227,0.7689,0.2609,0.1706,0.1007,0.1963,0.0682,0,0.0611,0.0593,0.083,0,,,,,,,
EW,0.0355,0.2272,0.0225,0.1663,0.5485,0.0584,0.0759,0.0819,0.0772,0.7067,0.0109,0.083,0.1283,0.1124,0.1519,0.0716,0.1366,0.052,0.1776,0.0756,,,,,,,
KNPE,0.0462,0.2379,0.18,0.3533,0.1827,0.1806,0.3301,0.1297,0.1101,0.2496,0.0981,0.0118,0.0871,0.2445,0.0625,0.0397,0.1302,0.063,0.2542,0.0088,,,,,,,
KNPR,0.1913,0.191,0.0491,0.2329,0.3357,0.053,0.0804,0.093,0.0594,0.7141,0.0787,0.0242,0.0333,0.0483,0.057,0.0493,0.14,0.102,0.4311,0.0361,,,,,,,
KWPE,0.1902,0.0829,0.1865,0.3032,0.2373,0.0643,0.1081,0.082,0.1351,0.6105,0.2104,0.0716,0.0525,0.1077,0.0686,0.0003,0.1061,0.0339,0.2704,0.0786,,,,,,,
LBT,0.1445,0.2395,0.0471,0.4337,0.1353,0.0036,0.1949,0.0455,0.1123,0.6438,0.2475,0.1748,0.1263,0.1421,0.0488,0.1315,0.0347,0.0651,0.0128,0.0164,,,,,,,
CW,0.2137,0.3442,0.0421,0.2651,0.1349,0.1262,0.1859,0.1449,0.1241,0.4189,0.1386,0.211,0.2027,0.1364,0.0414,0.0182,0.0763,0.0944,0.0678,0.0134,,,,,,,
ED,0.3417,0.0644,0.0028,0.2464,0.3447,0.0571,0.043,0.1553,0.0387,0.7059,0.1263,0.0472,0.1393,0.1024,0.0271,0.0376,0.1696,0.1286,0.154,0.0678,,,,,,,
EH,0.1011,0.2052,0.1226,0.27,0.3011,0.0637,0.0945,0.18,0.1552,0.5066,0.1239,0.1364,0.1613,0.0934,0.0355,0.0314,0.1142,0.0553,0.2013,0.0472,,,,,,,
ELL,0.0395,0.1933,0.0235,0.3843,0.3594,0.0953,0.3014,0.0292,0.0413,0.5327,0.1125,0.2833,0.1371,0.0561,0.1185,0.1694,0.04,0.041,0,0.0421,,,,,,,
ELW,0.2209,0.1618,0.0066,0.4415,0.1693,0.0741,0.1129,0.1372,0.0569,0.6189,0.1689,0.212,0.0802,0.0758,0.0083,0.0636,0.2196,0.0615,0.0756,0.0345,,,,,,,
LNAE,0.1761,0.2328,0.0181,0.3028,0.2702,0.087,0,0.0929,0.0913,0.7288,0.2378,0.3106,0.1067,0.1175,0.05,0.0317,0.044,0.0147,0.0611,0.0259,,,,,,,
LNBE,0.168,0.0581,0.0015,0.1533,0.6191,0.0241,0.0061,0.0664,0.056,0.8475,0.1873,0.5033,0.032,0.0065,0.0569,0,0.0698,0.0097,0.1164,0.0181,,,,,,,
PH,0.087,0.254,0.1104,0.3048,0.2438,0.0271,0.0228,0.0535,0.0689,0.8277,0.2268,0.2003,0.1767,0.0454,0.0292,0.0626,0.1071,0.0371,0.1089,0.0058,,,,,,,
TBN,0.0838,0.0696,0.0148,0.2235,0.6083,0.0248,0.0128,0.0637,0.1027,0.796,0.0049,0.1356,0.1831,0.3428,0.0654,0.0822,0.043,0.0301,0.1109,0.0021,,,,,,,
TL,0.145,0.1188,0.0082,0.3289,0.3992,0.072,0.0422,0.1077,0.1253,0.6528,0.0994,0.1803,0.0627,0.0698,0.0545,0,0.158,0.1236,0.2073,0.0443,,,,,,,
DTA,0.0401,0.0695,0.0181,0.4475,0.4247,0.0356,0.1534,0.2018,0.0726,0.5366,0.0485,0.2241,0.0636,0.0357,0.0133,0.0694,0.1682,0.1003,0.2625,0.0144,,,,,,,
DTS,0.0425,0.1367,0.053,0.1915,0.5762,0.0453,0.0111,0.1392,0.1064,0.698,0.0335,0.097,0.0063,0,0.0635,0.1839,0.2906,0.0984,0.1834,0.0436,,,,,,,
DTT,0.0235,0.2402,0.0751,0.4998,0.1613,0.0306,0.0525,0.1137,0.0955,0.7077,0.196,0.3204,0.0824,0.0622,0,0,0.085,0.0897,0.152,0.0121,,,,,,,
ATI,0.2725,0.266,0.0846,0.2818,0.0951,0.0554,0.1374,0.137,0.093,0.5772,0.1954,0.1546,0.0485,0.1277,0.0575,0.0349,0.1463,0.1061,0.0704,0.0586,,,,,,,
SAI,0.1784,0.1667,0.1141,0.3676,0.1732,0.0285,0.1166,0.1123,0.1708,0.5717,0.1081,0.0897,0.0235,0.0451,0.0613,0.041,0.1364,0.1111,0.2903,0.0934,,,,,,,
STI,0.0772,0.2948,0.0547,0.3766,0.1967,0.0006,0.0857,0.0652,0.1393,0.7091,0.0698,0.255,0.0513,0.0848,0,0.0488,0.1988,0.0716,0.1836,0.0363,,,,,,,
